Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Public Class,io.seata.core.protocol.transaction.GlobalStatusResponse,1,0,1,0,13,0,1,6,5,0,1,NO
Public Class,io.seata.core.protocol.transaction.UndoLogDeleteRequest,5,0,9,3,14,0,9,42,4,66,9,NO
Public Class,io.seata.core.rpc.DefaultServerMessageListenerImpl,20,0,8,2,8,0,8,157,1,79,27,NO
Public Class,io.seata.core.rpc.hook.StatusRpcHook,2,0,2,0,2,0,2,10,1,0,2,NO
Public Class,io.seata.core.rpc.netty.ChannelManager,13,0,0,0,16,7,9,310,1,0,88,NO
Public Class,io.seata.core.rpc.netty.ChannelUtil,1,0,0,0,3,0,3,31,1,0,7,NO
Public Class,io.seata.core.rpc.netty.NettyBaseConfig,7,2,0,2,1,1,0,106,1,100,1,NO
Public Class,io.seata.core.rpc.netty.NettyClientBootstrap,4,0,7,7,7,2,4,111,1,69,21,NO
Public Class,io.seata.core.rpc.netty.NettyClientConfig,6,0,29,7,44,0,43,160,2,95,44,NO
Public Class,io.seata.core.rpc.netty.NettyPoolableFactory,10,0,8,2,8,2,6,96,1,75,24,NO
Public Class,io.seata.core.rpc.netty.NettyPoolKey,2,0,9,3,9,0,9,60,1,48,9,NO
Public Class,io.seata.core.rpc.netty.NettyPoolKeyTest,3,0,8,1,8,0,8,45,1,0,8,NO
Public Class,io.seata.core.rpc.netty.NettyRemotingServer,8,0,6,2,37,1,5,52,3,75,8,NO
Public Class,io.seata.core.rpc.netty.NettyServerBootstrap,5,0,7,7,7,1,5,97,1,67,15,NO
Public Class,io.seata.core.rpc.netty.NettyServerConfig,3,0,22,8,25,0,24,89,2,92,25,NO
Public Class,io.seata.core.rpc.netty.TmNettyClientTest,4,0,4,0,5,0,5,67,1,0,7,NO
Public Class,io.seata.core.rpc.netty.TmNettyClientTest,7,0,3,0,3,0,3,78,1,0,3,NO
Public Class,io.seata.core.rpc.netty.v1.ClientChannelHandler,2,0,5,1,5,0,5,31,2,60,7,NO
Public Class,io.seata.core.rpc.netty.v1.HeadMapSerializer,2,0,5,0,6,1,3,59,1,0,15,NO
Public Class,io.seata.core.rpc.netty.v1.ProtocolV1Client,8,0,4,5,5,1,4,116,1,68,15,NO
Public Class,io.seata.core.rpc.netty.v1.ProtocolV1Decoder,9,0,4,0,4,0,3,66,2,0,11,NO
Public Class,io.seata.core.rpc.netty.v1.ProtocolV1Encoder,8,0,1,0,1,0,1,48,2,0,6,NO
Public Class,io.seata.core.rpc.netty.v1.ProtocolV1SerializerTest,7,0,1,0,1,0,1,55,1,0,7,NO
Public Class,io.seata.core.rpc.netty.v1.ProtocolV1Server,1,0,4,4,5,2,3,69,1,55,8,NO
Public Class,io.seata.core.rpc.netty.v1.ServerChannelHandler,2,0,3,0,3,0,3,21,2,0,4,NO
Public Class,io.seata.core.rpc.processor.client.ClientHeartbeatProcessor,2,0,1,0,1,0,1,11,1,0,3,NO
Public Class,io.seata.core.rpc.processor.client.ClientOnResponseProcessor,6,0,2,3,2,0,2,42,1,0,9,NO
Public Class,io.seata.core.rpc.processor.client.RmBranchCommitProcessor,6,0,3,2,3,1,2,30,1,33,6,NO
Public Class,io.seata.core.rpc.processor.client.RmBranchRollbackProcessor,6,0,3,2,3,1,2,30,1,33,6,NO
Public Class,io.seata.core.rpc.processor.client.RmUndoLogProcessor,3,0,3,1,3,1,2,22,1,33,5,NO
Public Class,io.seata.core.rpc.processor.server.BatchLogHandler,2,0,1,1,1,0,1,40,1,100,1,NO
Public Class,io.seata.core.rpc.processor.server.RegRmProcessor,11,0,3,2,3,1,2,42,1,33,8,NO
Public Class,io.seata.core.rpc.processor.server.RegTmProcessor,11,0,3,2,3,1,2,44,1,33,8,NO
